id,workload,repr,chunk,elem,retained,n,base,appended,blocks,forks,depth,keep_all,region,lv_pos,batch,ops_per_sample,nsamples,median_ns,p95_ns,min_ns,median2_ns,p95_2_ns,allocs_op,bytes_op,zcopies_op,zmoves_op,addref_op,blk_addref_op,branches_op,mem_start,mem_build,mem_peak,mem_end,checksum,balance_ok,vgroup,extra
175,linear,C,64,object,1,16384,,,,,,0,,,1,16384,15,75.709,75.951,75.221,,,1.0162,48.38,1,0,1,128.4844,0,474328,2630928,2630928,728280,6197cb953c2f1bf3,1,lin-ret-object-16384,
176,linear,C,32,array,0,4096,,,,,,0,,,1,4096,15,3.174,3.398,3.001,,,0.0332,16.76,1,0,1,0,0,474328,1671440,1671440,474328,09d684cff1ede49b,1,lin-dead-array-4096,
177,base_append,C,32,int,0,,1000,32,,,,0,,,1200,38400,15,3.094,3.441,2.867,,,0.125,19,1,0,0,0,0,474392,1397176,1397176,474392,48d38a9181c4637c,1,ba-int-1000-32,
178,base_append,C,16,int,0,,10000,64,,,,0,,,800,51200,15,3.057,3.275,2.812,,,0.1094,17.88,1,0,0,0,0,474424,1904728,1904728,474424,f0ad57df4960eb85,1,ba-int-10000-64,
179,base_append,C,32,int,0,,100,32,,,,0,,,1200,38400,15,2.855,2.933,2.79,,,0.125,19,1,0,0,0,0,474392,1364664,1364664,474392,46a2c90e03d70df5,1,ba-int-100-32,
180,destroy,B,0,string,1,2048,,,,,,0,,,1,2048,6,1251.912,1282.633,1243.652,,,0,0,0,0,0,0,0,474440,53252888,53252888,474440,0000000000000000,1,,
181,read,C,64,int,0,,10000,,8,,,0,last,,100000,100000,15,0.607,0.615,0.605,,,0,0,0,0,0,0,0,474832,853832,853832,474832,000dae8d6cce0ca2,1,,
182,read,A,0,int,0,,10000,,8,,,0,base,,100000,100000,15,0.514,0.518,0.509,,,0,0,0,0,0,0,0,474832,851664,851664,474832,000dc0651c0a2482,1,rd-base,
183,linear,C,64,int,1,4096,,,,,,0,,,1,4096,15,20.742,21.444,20.66,,,1.0173,48.38,1,0,0,32.4844,0,474328,786192,786192,474328,e1afe464a1eeb2fb,1,lin-ret-int-4096,
184,base_append,A,0,string,0,,100,32,,,,0,,,46,1472,15,186.51,200.351,186.226,,,1,1872,116.5,0,116.5,0,0,474424,602200,604760,474424,9727c4da06513e03,1,ba-string-100-32,
185,base_append,C,32,int,0,,100000,4,,,,0,,,1027,4108,15,4.412,4.544,4.361,,,1,152,1,0,0,0,0,474424,4437472,4437472,474424,643898b1322dd762,1,ba-int-100000-4,
186,vcreate,C,128,int,0,,64,,8,,,0,,,600,600,15,17.64,18.125,17.362,16.25,16.458,4,2240,1,0,0,8,1,474376,0,2171392,474376,0000000000000000,1,,
187,read,C,16,int,0,,10000,,8,,,0,mixed,,100000,100000,15,0.622,0.648,0.6,,,0,0,0,0,0,0,0,474832,837960,837960,474832,000dca7607b7cae2,1,,
188,base_append,C,32,int,0,,1000,4,,,,0,,,2400,9600,15,4.622,4.991,4.418,,,1,152,1,0,0,0,0,474392,2274872,2274872,474392,f1591d888dcf0d7e,1,ba-int-1000-4,
189,linear,C,64,object,0,1024,,,,,,0,,,1,1024,15,2.646,3.012,2.645,,,0.0205,16.4,1,0,1,0,0,474328,560528,560528,482520,6d7d60429257bfdf,1,lin-dead-object-1024,
190,base_append,C,16,int,0,,100,32,,,,0,,,800,25600,15,2.993,3.06,2.938,,,0.1563,19.25,1,0,0,0,0,474392,1069368,1069368,474392,46a2c90e03d70df5,1,ba-int-100-32,
191,base_append,B,0,int,0,,100000,32,,,,0,,,2,64,15,3618.5,3975.922,3533.203,,,0.0313,65536.5,3126,0,0,0,0,474424,7904632,7904632,474424,36bc3c9886230884,1,ba-int-100000-32,
192,base_append,B,0,string,0,,100,1024,,,,0,,,50,51200,15,2.537,2.598,2.363,,,0.0049,62.08,1.0977,1.875,1.0977,0,0,474424,2385304,2405784,474424,5901fab5efd9bf2f,1,ba-string-100-1024,
193,base_append,C,16,string,0,,100000,64,,,,0,,,721,46144,15,3.008,3.383,2.927,,,0.1094,17.88,1,0,1,0,0,474424,8674608,8674608,474424,25f64f6b5d86baac,1,ba-string-100000-64,
194,base_append,C,16,string,0,,100,4,,,,0,,,1807,7228,15,4.721,4.761,4.704,,,1,88,1,0,1,0,0,474424,1235840,1235840,474424,d697ab7efcf7800f,1,ba-string-100-4,
195,linear,C,32,object,1,4096,,,,,,0,,,1,4096,15,25.106,25.848,24.984,,,1.0332,48.76,1,0,1,64.4688,0,474328,1007888,1007888,531672,a90dfee62da19683,1,lin-ret-object-4096,
196,base_append,C,32,int,0,,100000,1,,,,0,,,2400,2400,15,10.59,11.962,10.521,,,4,608,1,0,0,0,0,474424,5445208,5445208,474424,3b335e27ff112313,1,ba-int-100000-1,
197,linear,C,128,object,1,1024,,,,,,0,,,1,1024,15,6.592,6.755,6.552,,,1.0117,48.21,1,0,1,4.4922,0,474328,601424,601424,482520,6d7d60429257bfdf,1,lin-ret-object-1024,
198,linear,A,0,string,0,1024,,,,,,0,,,1,1024,15,841.512,882.446,838.379,,,1.001,8208.01,512.5,0,512.5,0,0,474328,552152,568536,474328,165bfc4050d5b883,1,lin-dead-string-1024,
199,base_append,A,0,int,0,,10000,32,,,,0,,,1,32,15,14496.094,14606.781,14463.563,,,1,160272,10016.5,0,0,0,0,474424,965960,1129800,474424,d969fe0d6965f4c4,1,ba-int-10000-32,
200,base_append,C,32,int,0,,10000,1,,,,0,,,3614,3614,15,10.664,11.99,10.595,,,4,608,1,0,0,0,0,474392,3465864,3465864,474392,a1b6c487627f1a40,1,ba-int-10000-1,
201,base_append,A,0,int,0,,1000,64,,,,0,,,3,192,15,1461.156,1539.495,1460.505,,,1,16528,1032.5,0,0,0,0,474392,572720,593200,474392,a6ad414a035eb104,1,ba-int-1000-64,
202,base_append,B,0,int,0,,100,4,,,,0,,,1027,4108,15,13.084,13.673,13.023,,,0.25,516,26,0,0,0,0,474392,3119384,3119384,474392,516dfccebf7220d1,1,ba-int-100-4,
203,branch,C,64,string,0,,1024,,,,,0,,half,4096,4096,15,39.368,39.581,38.564,,,4,1152,33,0,33,4,1,474408,6345792,6345792,474408,9ebbf9e5c9807f45,1,br-string-6-half,"{""lv_at_branch"":32}"
204,read,A,0,int,0,,10000,,8,,,0,mixed,,100000,100000,15,0.509,0.546,0.486,,,0,0,0,0,0,0,0,474832,851664,851664,474832,000dbbb9037ca2e2,1,,
205,foreach,C,32,int,0,,10000,,8,,,0,,,91,933296,15,0.497,0.513,0.497,,,0,0,0,0,0,0,0,474448,0,811464,474448,00001407d565a288,1,fe-int-10256,"{""sink"":36097135278789816}"
